Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series
R_ERJ-3EKF1210V,R,121 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 121 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1210V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1211V,R,1.21 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.21 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1211V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1212V,R,12.1 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.1 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1212V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1213V,R,121 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 121 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1213V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF12R4V,R,12.4 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.4 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R4V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1240V,R,124 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 124 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1240V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1241V,R,1.24 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.24 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1241V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1242V,R,12.4 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.4 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1242V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1243V,R,124 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 124 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1243V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF12R7V,R,12.7 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R7V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1270V,R,127 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 127 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1270V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1271V,R,1.27 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.27 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1271V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1272V,R,12.7 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.7 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1272V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1273V,R,127 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 127 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1273V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF13R0V,R,13 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13 Ω 1% 0603 75V,Panasonic,ERJ-3EKF13R0V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1300V,R,130 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 130 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1300V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1301V,R,1.3 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.3 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1301V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1302V,R,13 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1302V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1303V,R,130 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 130 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1303V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF13R3V,R,13.3 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.3 Ω 1% 0603 75V,Panasonic,ERJ-3EKF13R3V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1330V,R,133 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 133 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1330V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1331V,R,1.33 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.33 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1331V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1332V,R,13.3 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.3 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1332V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1333V,R,133 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 133 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1333V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF13R7V,R,13.7 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF13R7V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1370V,R,137 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 137 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1370V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1371V,R,1.37 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.37 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1371V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1372V,R,13.7 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.7 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1372V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1373V,R,137 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 137 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1373V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF14R0V,R,14 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14 Ω 1% 0603 75V,Panasonic,ERJ-3EKF14R0V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1400V,R,140 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 140 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1400V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1401V,R,1.4 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.4 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1401V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1402V,R,14 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1402V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1403V,R,140 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 140 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1403V,1%,75V,0603,1608,ERJ-3EK
