Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating
R_000135,R,1.69 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.69 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1691V,1%,150V
R_000136,R,16.9 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 16.9 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1692V,1%,150V
R_000137,R,169 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 169 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1693V,1%,150V
R_000138,R,1.69 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.69 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1694V,1%,150V
R_000139,R,17.4 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 17.4 Ω 1% 0805 150V,Panasonic,ERJ-6ENF17R4V,1%,150V
R_000140,R,174 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 174 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1740V,1%,150V
R_000141,R,1.74 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.74 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1741V,1%,150V
R_000142,R,17.4 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 17.4 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1742V,1%,150V
R_000143,R,174 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 174 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1743V,1%,150V
R_000144,R,1.74 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.74 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1744V,1%,150V
R_000145,R,17.8 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 17.8 Ω 1% 0805 150V,Panasonic,ERJ-6ENF17R8V,1%,150V
R_000146,R,178 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 178 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1780V,1%,150V
R_000147,R,1.78 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.78 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1781V,1%,150V
R_000148,R,17.8 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 17.8 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1782V,1%,150V
R_000149,R,178 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 178 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1783V,1%,150V
R_000150,R,1.78 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.78 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1784V,1%,150V
R_000151,R,18.2 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 18.2 Ω 1% 0805 150V,Panasonic,ERJ-6ENF18R2V,1%,150V
R_000152,R,182 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 182 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1820V,1%,150V
R_000153,R,1.82 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.82 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1821V,1%,150V
R_000154,R,18.2 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 18.2 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1822V,1%,150V
R_000155,R,182 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 182 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1823V,1%,150V
R_000156,R,1.82 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.82 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1824V,1%,150V
R_000157,R,18.7 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 18.7 Ω 1% 0805 150V,Panasonic,ERJ-6ENF18R7V,1%,150V
R_000158,R,187 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 187 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1870V,1%,150V
R_000159,R,1.87 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.87 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1871V,1%,150V
