Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XFL4015-181ME,L,180 nH,footprints:XFL4015,https://www.coilcraft.com/getmedia/84927b8b-f089-421b-a7f4-a0fa23afe908/xfl4015.pdf,INDUCTOR SMD 180 nH ±20% AEC-Q200,Coilcraft,XFL4015-181ME,±20%,XFL4015,https://www.trustedparts.com/en/search/XFL4015-181ME
L_XFL4015-331ME,L,330 nH,footprints:XFL4015,https://www.coilcraft.com/getmedia/84927b8b-f089-421b-a7f4-a0fa23afe908/xfl4015.pdf,INDUCTOR SMD 330 nH ±20% AEC-Q200,Coilcraft,XFL4015-331ME,±20%,XFL4015,https://www.trustedparts.com/en/search/XFL4015-331ME
L_XFL4015-471ME,L,470 nH,footprints:XFL4015,https://www.coilcraft.com/getmedia/84927b8b-f089-421b-a7f4-a0fa23afe908/xfl4015.pdf,INDUCTOR SMD 470 nH ±20% AEC-Q200,Coilcraft,XFL4015-471ME,±20%,XFL4015,https://www.trustedparts.com/en/search/XFL4015-471ME
L_XFL4015-701ME,L,700 nH,footprints:XFL4015,https://www.coilcraft.com/getmedia/84927b8b-f089-421b-a7f4-a0fa23afe908/xfl4015.pdf,INDUCTOR SMD 700 nH ±20% AEC-Q200,Coilcraft,XFL4015-701ME,±20%,XFL4015,https://www.trustedparts.com/en/search/XFL4015-701ME
L_XFL4015-122ME,L,1.2 µH,footprints:XFL4015,https://www.coilcraft.com/getmedia/84927b8b-f089-421b-a7f4-a0fa23afe908/xfl4015.pdf,INDUCTOR SMD 1.2 µH ±20% AEC-Q200,Coilcraft,XFL4015-122ME,±20%,XFL4015,https://www.trustedparts.com/en/search/XFL4015-122ME
L_XFL4020-121ME,L,120 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 120 nH ±20% AEC-Q200,Coilcraft,XFL4020-121ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-121ME
L_XFL4020-241ME,L,240 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 240 nH ±20% AEC-Q200,Coilcraft,XFL4020-241ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-241ME
L_XFL4020-331ME,L,330 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 330 nH ±20% AEC-Q200,Coilcraft,XFL4020-331ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-331ME
L_XFL4020-471ME,L,470 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 470 nH ±20% AEC-Q200,Coilcraft,XFL4020-471ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-471ME
L_XFL4020-561ME,L,560 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 560 nH ±20% AEC-Q200,Coilcraft,XFL4020-561ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-561ME
L_XFL4020-102ME,L,1 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL4020-102ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-102ME
L_XFL4020-152ME,L,1.5 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XFL4020-152ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-152ME
L_XFL4020-222ME,L,2.2 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XFL4020-222ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-222ME
L_XFL4020-332ME,L,3.3 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XFL4020-332ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-332ME
L_XFL4020-472ME,L,4.7 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XFL4020-472ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-472ME
L_XFL4030-471ME,L,470 nH,footprints:XFL4030,https://www.coilcraft.com/getmedia/d12f7f67-cfc1-404a-9993-f09a1451b0a9/xfl4030.pdf,INDUCTOR SMD 470 nH ±20% AEC-Q200,Coilcraft,XFL4030-471ME,±20%,XFL4030,https://www.trustedparts.com/en/search/XFL4030-471ME
L_XFL4030-102ME,L,1 µH,footprints:XFL4030,https://www.coilcraft.com/getmedia/d12f7f67-cfc1-404a-9993-f09a1451b0a9/xfl4030.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL4030-102ME,±20%,XFL4030,https://www.trustedparts.com/en/search/XFL4030-102ME
L_XFL4030-202ME,L,2 µH,footprints:XFL4030,https://www.coilcraft.com/getmedia/d12f7f67-cfc1-404a-9993-f09a1451b0a9/xfl4030.pdf,INDUCTOR SMD 2 µH ±20% AEC-Q200,Coilcraft,XFL4030-202ME,±20%,XFL4030,https://www.trustedparts.com/en/search/XFL4030-202ME
L_XFL4030-302ME,L,3 µH,footprints:XFL4030,https://www.coilcraft.com/getmedia/d12f7f67-cfc1-404a-9993-f09a1451b0a9/xfl4030.pdf,INDUCTOR SMD 3 µH ±20% AEC-Q200,Coilcraft,XFL4030-302ME,±20%,XFL4030,https://www.trustedparts.com/en/search/XFL4030-302ME
L_XFL4030-472ME,L,4.7 µH,footprints:XFL4030,https://www.coilcraft.com/getmedia/d12f7f67-cfc1-404a-9993-f09a1451b0a9/xfl4030.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XFL4030-472ME,±20%,XFL4030,https://www.trustedparts.com/en/search/XFL4030-472ME
L_XFL5015-221ME,L,220 nH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 220 nH ±20% AEC-Q200,Coilcraft,XFL5015-221ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-221ME
L_XFL5015-421ME,L,420 nH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 420 nH ±20% AEC-Q200,Coilcraft,XFL5015-421ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-421ME
L_XFL5015-681ME,L,680 nH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 680 nH ±20% AEC-Q200,Coilcraft,XFL5015-681ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-681ME
L_XFL5015-122ME,L,1.2 µH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 1.2 µH ±20% AEC-Q200,Coilcraft,XFL5015-122ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-122ME
L_XFL5015-152ME,L,1.5 µH,footprints:XFL5015,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XFL5015-152ME,±20%,XFL5015,https://www.trustedparts.com/en/search/XFL5015-152ME
L_XFL5018-222ME,L,2.2 µH,footprints:XFL5018,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XFL5018-222ME,±20%,XFL5018,https://www.trustedparts.com/en/search/XFL5018-222ME
L_XFL5018-332ME,L,3.3 µH,footprints:XFL5018,https://www.coilcraft.com/getmedia/5f7b596c-8f2f-415e-931e-74a5b6804936/xfl5015.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XFL5018-332ME,±20%,XFL5018,https://www.trustedparts.com/en/search/XFL5018-332ME
