Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT0805BRB0715R8L,R,15.8 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 15.8 Ω 0.1% 0805 150V,Yageo,RT0805BRB0715R8L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0715R8L
R_RT0805BRB0716RL,R,16 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 16 Ω 0.1% 0805 150V,Yageo,RT0805BRB0716RL,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0716RL
R_RT0805BRB0716R2L,R,16.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 16.2 Ω 0.1% 0805 150V,Yageo,RT0805BRB0716R2L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0716R2L
R_RT0805BRB0716R5L,R,16.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 16.5 Ω 0.1% 0805 150V,Yageo,RT0805BRB0716R5L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0716R5L
R_RT0805BRB0716R9L,R,16.9 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 16.9 Ω 0.1% 0805 150V,Yageo,RT0805BRB0716R9L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0716R9L
R_RT0805BRB0717R4L,R,17.4 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 17.4 Ω 0.1% 0805 150V,Yageo,RT0805BRB0717R4L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0717R4L
R_RT0805BRB0717R8L,R,17.8 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 17.8 Ω 0.1% 0805 150V,Yageo,RT0805BRB0717R8L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0717R8L
R_RT0805BRB0718RL,R,18 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 18 Ω 0.1% 0805 150V,Yageo,RT0805BRB0718RL,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0718RL
R_RT0805BRB0718R2L,R,18.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 18.2 Ω 0.1% 0805 150V,Yageo,RT0805BRB0718R2L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0718R2L
R_RT0805BRB0718R7L,R,18.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 18.7 Ω 0.1% 0805 150V,Yageo,RT0805BRB0718R7L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0718R7L
